,number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
67,67,0.7717077558786275,2025-04-06 23:52:03.514300,2025-04-06 23:55:50.204372,0 days 00:03:46.690072,0.9124381677831179,0.2303653392374514,0.030980337415048947,4,989,0.00011970789065434368,7.866999570741732e-06,0.9075594133432974,COMPLETE
68,68,0.7731853267595581,2025-04-06 23:55:50.221385,2025-04-06 23:59:56.238426,0 days 00:04:06.017041,0.8709851132482681,0.2693765904379776,0.037554514562350115,5,998,0.000936232986714075,1.6303745369384713e-05,0.8876778372056403,COMPLETE
69,69,0.7728095257307241,2025-04-06 23:59:56.251123,2025-04-07 00:03:36.304685,0 days 00:03:40.053562,0.8480292083813786,0.20053543050863648,0.04870763377115967,4,969,8.582100636655055e-05,2.183092430402491e-06,0.8747403207805848,COMPLETE
70,70,0.7617362195119535,2025-04-07 00:03:36.318143,2025-04-07 00:06:55.304624,0 days 00:03:18.986481,0.8594873182656556,0.16912015918723855,0.216748400387478,3,952,0.0036896386751854005,8.21205596252947e-05,0.9267357315893241,COMPLETE
71,71,0.7728062849773971,2025-04-07 00:06:55.315539,2025-04-07 00:11:18.249071,0 days 00:04:22.933532,0.9021941988424389,0.29753789866621916,0.02879474004629033,5,877,0.00027960540205737713,6.470140675532252e-07,0.8659612046494636,COMPLETE
72,72,0.7715764185331724,2025-04-07 00:11:18.260856,2025-04-07 00:15:24.692319,0 days 00:04:06.431463,0.8783663071890602,0.23837036393531053,0.020146549699651847,5,935,5.698511233366091e-05,6.329418164104653e-08,0.8885120428454539,COMPLETE
73,73,0.7734537392871728,2025-04-07 00:15:24.706437,2025-04-07 00:19:34.471534,0 days 00:04:09.765097,0.9199165015532116,0.31562001496759906,0.027904336940907475,5,989,0.00026280576680655116,3.048373720569275e-08,0.9046616749016452,COMPLETE
74,74,0.7732306588980322,2025-04-07 00:19:34.482505,2025-04-07 00:23:41.038570,0 days 00:04:06.556065,0.9609232717594298,0.2667111841256471,0.036536353886421825,5,999,0.00020539824421842302,4.129963985572945e-05,0.9043467369785344,COMPLETE
75,75,0.7708034370777403,2025-04-07 00:23:41.050332,2025-04-07 00:27:21.456892,0 days 00:03:40.406560,0.9369768338309953,0.21596870908439808,0.02817349065580614,4,943,0.0010060312120876574,2.908108909539209e-08,0.9440769233720896,COMPLETE
76,76,0.7728733488662384,2025-04-07 00:27:21.467778,2025-04-07 00:31:20.046329,0 days 00:03:58.578551,0.9206054399225643,0.31184340240806,0.042856509550669795,5,968,3.6039881995061355e-05,1.1606135756124091e-07,0.9669872008027741,COMPLETE
