,number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,state
93,93,0.769327279503697,2025-04-09 12:52:53.055845,2025-04-09 12:54:57.781209,0 days 00:02:04.725364,0.6320645316857288,0.03411776568584447,8,892,22,3.1237007492456484e-06,0.0025881458858007488,0.9164742691689293,COMPLETE
94,94,0.769476615777154,2025-04-09 12:54:57.803175,2025-04-09 12:56:56.635483,0 days 00:01:58.832308,0.7065049707120625,0.0249519876773747,10,519,68,4.6613924939716346e-05,0.031872908633525446,0.9036868926259515,COMPLETE
95,95,0.766101909457204,2025-04-09 12:56:56.649482,2025-04-09 12:59:07.686169,0 days 00:02:11.036687,0.6140219683727334,0.045879557986655356,9,916,28,1.8115995677972354e-05,0.54750918486156,0.8784959824028004,COMPLETE
96,96,0.7691224440770774,2025-04-09 12:59:07.699306,2025-04-09 13:01:07.693601,0 days 00:01:59.994295,0.607030878150162,0.0366639534790584,7,821,24,9.714804344382215e-06,0.010646476292516272,0.7167190298534952,COMPLETE
97,97,0.7699553343812845,2025-04-09 13:01:07.707082,2025-04-09 13:03:18.237345,0 days 00:02:10.530263,0.6872009705318128,0.017179905827051735,8,785,21,6.998407506337073e-05,0.06626625605442342,0.9460435789516181,COMPLETE
98,98,0.7689298268805381,2025-04-09 13:03:18.250397,2025-04-09 13:04:11.230312,0 days 00:00:52.979915,0.840770498620788,0.029211757791499537,9,255,31,0.006657410546780798,0.1613828383404064,0.9362720437187952,COMPLETE
99,99,0.7656105852021213,2025-04-09 13:04:11.244825,2025-04-09 13:06:31.560270,0 days 00:02:20.315445,0.6020807304593637,0.040861835104488424,10,851,41,1.1023318090572112e-08,0.007065666679619758,0.704586826186694,COMPLETE
100,100,0.7168370928855122,2025-04-09 13:06:31.573224,2025-04-09 13:08:55.730908,0 days 00:02:24.157684,0.6195247311195425,0.20101110034513178,11,942,55,1.5420239342727055e-06,0.022138889066674685,0.8887243062165581,COMPLETE
101,101,0.769743368406723,2025-04-09 13:08:55.742704,2025-04-09 13:10:53.221130,0 days 00:01:57.478426,0.6429978766217851,0.027126526115980897,9,711,27,4.810149599206305e-06,0.00036119478120388095,0.904255853201002,COMPLETE
102,102,0.7695061744310818,2025-04-09 13:10:53.233295,2025-04-09 13:13:06.701519,0 days 00:02:13.468224,0.7962806724227969,0.03176320273910375,6,976,20,0.04203627865414209,1.7280094784647412e-07,0.9812282277146466,COMPLETE
